File: engine.test
Type: cpu
Time: 2026-05-17 21:55:16 CEST
Duration: 6.36s, Total samples = 3410ms (53.61%)
Showing nodes accounting for 2560ms, 75.07% of 3410ms total
Dropped 68 nodes (cum <= 17.05ms)
Showing top 35 nodes out of 143
      flat  flat%   sum%        cum   cum%
    2560ms 75.07% 75.07%     2560ms 75.07%  syscall.rawsyscalln
         0     0% 75.07%     2560ms 75.07%  syscall.syscalln
         0     0% 75.07%     2540ms 74.49%  syscall.syscall
         0     0% 75.07%     2250ms 65.98%  os.ignoringEINTR (inline)
         0     0% 75.07%     1970ms 57.77%  testing.(*B).runN
         0     0% 75.07%     1680ms 49.27%  os.OpenFile
         0     0% 75.07%     1680ms 49.27%  os.openFileNolog
         0     0% 75.07%     1640ms 48.09%  os.open (inline)
         0     0% 75.07%     1640ms 48.09%  os.openFileNolog.func1 (inline)
         0     0% 75.07%     1640ms 48.09%  syscall.Open
         0     0% 75.07%     1390ms 40.76%  reporting-db-migrations/internal/engine.BenchmarkDiffCompute_SkipHeavy_2000Objects
         0     0% 75.07%     1390ms 40.76%  reporting-db-migrations/internal/engine.benchmarkDiffComputeSkipHeavy
         0     0% 75.07%     1320ms 38.71%  testing.(*B).launch
         0     0% 75.07%     1180ms 34.60%  reporting-db-migrations/internal/engine.makeRealFS
         0     0% 75.07%     1180ms 34.60%  reporting-db-migrations/internal/engine.makeRealLayout
         0     0% 75.07%     1140ms 33.43%  os.WriteFile
         0     0% 75.07%      930ms 27.27%  reporting-db-migrations/internal/fs.(*CachedFile).Checksum
         0     0% 75.07%      930ms 27.27%  reporting-db-migrations/internal/fs.(*CachedFile).Checksum.func1
         0     0% 75.07%      930ms 27.27%  reporting-db-migrations/internal/fs.(*Scanner).preloadChecksums.func1.1
         0     0% 75.07%      930ms 27.27%  sync.(*Once).Do (inline)
         0     0% 75.07%      930ms 27.27%  sync.(*Once).doSlow
         0     0% 75.07%      900ms 26.39%  reporting-db-migrations/internal/fs.(*CachedFile).Content
         0     0% 75.07%      900ms 26.39%  reporting-db-migrations/internal/fs.(*CachedFile).Content.func1
         0     0% 75.07%      850ms 24.93%  os.ReadFile
         0     0% 75.07%      800ms 23.46%  os.Open (inline)
         0     0% 75.07%      650ms 19.06%  testing.(*B).run1.func1
         0     0% 75.07%      580ms 17.01%  os.RemoveAll (inline)
         0     0% 75.07%      580ms 17.01%  os.removeAll
         0     0% 75.07%      580ms 17.01%  os.removeAllFrom
         0     0% 75.07%      580ms 17.01%  testing.(*B).runN.func1
         0     0% 75.07%      580ms 17.01%  testing.(*common).Cleanup.func1
         0     0% 75.07%      580ms 17.01%  testing.(*common).makeTempDir.func1
         0     0% 75.07%      580ms 17.01%  testing.(*common).runCleanup
         0     0% 75.07%      580ms 17.01%  testing.removeAll
         0     0% 75.07%      550ms 16.13%  internal/syscall/unix.Unlinkat (inline)
