File: engine.test
Type: alloc_space
Time: 2026-05-17 22:05:35 CEST
Showing nodes accounting for 2441.80MB, 99.33% of 2458.37MB total
Dropped 77 nodes (cum <= 12.29MB)
      flat  flat%   sum%        cum   cum%
 1395.93MB 56.78% 56.78%  1395.93MB 56.78%  reporting-db-migrations/internal/diff.(*Computer).Compute
  218.53MB  8.89% 65.67%   618.66MB 25.17%  reporting-db-migrations/internal/engine.makeRealFS
  210.50MB  8.56% 74.23%   210.50MB  8.56%  os.readFileContents
  205.93MB  8.38% 82.61%   418.93MB 17.04%  reporting-db-migrations/internal/fs.(*CachedFile).Content.func1
  191.77MB  7.80% 90.41%   191.77MB  7.80%  internal/bytealg.MakeNoZero
  153.35MB  6.24% 96.65%   153.35MB  6.24%  strings.(*Builder).Write
   52.50MB  2.14% 98.79%   395.63MB 16.09%  reporting-db-migrations/internal/engine.makeBenchSQL
   12.30MB   0.5% 99.29%    12.30MB   0.5%  reporting-db-migrations/internal/fs.normalizeSQLBytes
       1MB 0.041% 99.33%   432.23MB 17.58%  reporting-db-migrations/internal/fs.(*Scanner).preloadChecksums.func1.1
         0     0% 99.33%   153.85MB  6.26%  fmt.Fprintf
         0     0% 99.33%      213MB  8.66%  os.ReadFile
         0     0% 99.33%  2021.63MB 82.23%  reporting-db-migrations/internal/engine.BenchmarkDiffCompute_Create_2000Objects
         0     0% 99.33%  2021.63MB 82.23%  reporting-db-migrations/internal/engine.benchmarkDiffComputeCreateHeavy
         0     0% 99.33%   625.20MB 25.43%  reporting-db-migrations/internal/engine.makeRealLayout
         0     0% 99.33%   431.23MB 17.54%  reporting-db-migrations/internal/fs.(*CachedFile).Checksum
         0     0% 99.33%   431.23MB 17.54%  reporting-db-migrations/internal/fs.(*CachedFile).Checksum.func1
         0     0% 99.33%   418.93MB 17.04%  reporting-db-migrations/internal/fs.(*CachedFile).Content
         0     0% 99.33%    12.30MB   0.5%  reporting-db-migrations/internal/fs.NormalizeAndHash
         0     0% 99.33%   191.77MB  7.80%  strings.(*Builder).Grow
         0     0% 99.33%   191.77MB  7.80%  strings.(*Builder).grow
         0     0% 99.33%   431.23MB 17.54%  sync.(*Once).Do (inline)
         0     0% 99.33%   431.23MB 17.54%  sync.(*Once).doSlow
         0     0% 99.33%  1865.46MB 75.88%  testing.(*B).launch
         0     0% 99.33%   156.67MB  6.37%  testing.(*B).run1.func1
         0     0% 99.33%  2022.13MB 82.26%  testing.(*B).runN
