File: engine.test
Type: alloc_space
Time: 2026-05-17 22:05:42 CEST
Showing nodes accounting for 911.94MB, 98.21% of 928.57MB total
Dropped 74 nodes (cum <= 4.64MB)
      flat  flat%   sum%        cum   cum%
  170.27MB 18.34% 18.34%   170.27MB 18.34%  reporting-db-migrations/internal/diff.(*Computer).Compute
  158.24MB 17.04% 35.38%   158.24MB 17.04%  os.readFileContents
  152.59MB 16.43% 51.81%   442.08MB 47.61%  reporting-db-migrations/internal/engine.makeRealFS
  138.37MB 14.90% 66.71%   138.37MB 14.90%  internal/bytealg.MakeNoZero
  130.49MB 14.05% 80.77%   293.24MB 31.58%  reporting-db-migrations/internal/fs.(*CachedFile).Content.func1
  117.12MB 12.61% 93.38%   117.12MB 12.61%  strings.(*Builder).Write
      33MB  3.55% 96.93%      286MB 30.80%  reporting-db-migrations/internal/engine.makeBenchSQL
   10.84MB  1.17% 98.10%    10.84MB  1.17%  reporting-db-migrations/internal/fs.normalizeSQLBytes
    0.52MB 0.056% 98.16%   618.45MB 66.60%  reporting-db-migrations/internal/engine.benchmarkDiffComputeSkipHeavy
    0.50MB 0.054% 98.21%   305.58MB 32.91%  reporting-db-migrations/internal/fs.(*Scanner).preloadChecksums.func1.1
         0     0% 98.21%   117.62MB 12.67%  fmt.Fprintf
         0     0% 98.21%   162.74MB 17.53%  os.ReadFile
         0     0% 98.21%   618.45MB 66.60%  reporting-db-migrations/internal/engine.BenchmarkDiffCompute_SkipHeavy_2000Objects
         0     0% 98.21%   447.16MB 48.16%  reporting-db-migrations/internal/engine.makeRealLayout
         0     0% 98.21%   305.08MB 32.86%  reporting-db-migrations/internal/fs.(*CachedFile).Checksum
         0     0% 98.21%   305.08MB 32.86%  reporting-db-migrations/internal/fs.(*CachedFile).Checksum.func1
         0     0% 98.21%   293.24MB 31.58%  reporting-db-migrations/internal/fs.(*CachedFile).Content
         0     0% 98.21%     5.07MB  0.55%  reporting-db-migrations/internal/fs.(*Scanner).Scan
         0     0% 98.21%    11.85MB  1.28%  reporting-db-migrations/internal/fs.NormalizeAndHash
         0     0% 98.21%   138.37MB 14.90%  strings.(*Builder).Grow
         0     0% 98.21%   138.37MB 14.90%  strings.(*Builder).grow
         0     0% 98.21%   305.08MB 32.86%  sync.(*Once).Do (inline)
         0     0% 98.21%   305.08MB 32.86%  sync.(*Once).doSlow
         0     0% 98.21%   465.89MB 50.17%  testing.(*B).launch
         0     0% 98.21%   154.06MB 16.59%  testing.(*B).run1.func1
         0     0% 98.21%   619.95MB 66.76%  testing.(*B).runN
