File: engine.test
Type: alloc_space
Time: 2026-05-17 22:05:54 CEST
Showing nodes accounting for 31313kB, 100% of 31313kB total
Showing top 30 nodes out of 33
      flat  flat%   sum%        cum   cum%
20420.30kB 65.21% 65.21% 20420.30kB 65.21%  reporting-db-migrations/internal/fs.normalizeSQLBytes
 3942.34kB 12.59% 77.80%  3942.34kB 12.59%  strings.(*Builder).Write
 3364.31kB 10.74% 88.55%  3364.31kB 10.74%  internal/bytealg.MakeNoZero
 2048.03kB  6.54% 95.09%  9354.69kB 29.87%  reporting-db-migrations/internal/engine.makeBenchSQL
 1538.01kB  4.91%   100%  1538.01kB  4.91%  runtime.mallocgc
         0     0%   100%  3942.34kB 12.59%  fmt.Fprintf
         0     0%   100% 29774.99kB 95.09%  reporting-db-migrations/internal/engine.BenchmarkNormalizeAndHash_LargeSQL
         0     0%   100% 29774.99kB 95.09%  reporting-db-migrations/internal/engine.benchmarkNormalize
         0     0%   100% 20420.30kB 65.21%  reporting-db-migrations/internal/fs.NormalizeAndHash
         0     0%   100%   512.01kB  1.64%  runtime.(*scavengerState).sleep
         0     0%   100%   512.01kB  1.64%  runtime.(*timer).maybeAdd
         0     0%   100%   512.01kB  1.64%  runtime.(*timer).modify
         0     0%   100%   512.01kB  1.64%  runtime.(*timer).reset (inline)
         0     0%   100%   512.01kB  1.64%  runtime.(*timers).addHeap
         0     0%   100%     1026kB  3.28%  runtime.allocm
         0     0%   100%   512.01kB  1.64%  runtime.bgscavenge
         0     0%   100%   512.01kB  1.64%  runtime.growslice
         0     0%   100%      513kB  1.64%  runtime.mcall
         0     0%   100%      513kB  1.64%  runtime.mstart
         0     0%   100%      513kB  1.64%  runtime.mstart0
         0     0%   100%      513kB  1.64%  runtime.mstart1
         0     0%   100%     1026kB  3.28%  runtime.newm
         0     0%   100%     1026kB  3.28%  runtime.newobject
         0     0%   100%      513kB  1.64%  runtime.park_m
         0     0%   100%     1026kB  3.28%  runtime.resetspinning
         0     0%   100%     1026kB  3.28%  runtime.schedule
         0     0%   100%     1026kB  3.28%  runtime.startm
         0     0%   100%     1026kB  3.28%  runtime.wakep
         0     0%   100%  3364.31kB 10.74%  strings.(*Builder).Grow
         0     0%   100%  3364.31kB 10.74%  strings.(*Builder).grow
