File: apply-cpu.test
Type: cpu
Time: 2026-05-18 00:58:15 CEST
Duration: 807.93ms, Total samples = 710ms (87.88%)
Showing nodes accounting for 560ms, 78.87% of 710ms total
Showing top 25 nodes out of 107
      flat  flat%   sum%        cum   cum%
         0     0%     0%      350ms 49.30%  runtime.systemstack
         0     0%     0%      350ms 49.30%  testing.(*B).runN
         0     0%     0%      290ms 40.85%  runtime.gcStart.func4
     290ms 40.85% 40.85%      290ms 40.85%  runtime.kevent
         0     0% 40.85%      290ms 40.85%  runtime.netpoll
         0     0% 40.85%      290ms 40.85%  runtime.startTheWorldWithSema
     270ms 38.03% 78.87%      270ms 38.03%  syscall.rawsyscalln
         0     0% 78.87%      270ms 38.03%  syscall.syscall
         0     0% 78.87%      270ms 38.03%  syscall.syscalln
         0     0% 78.87%      260ms 36.62%  reporting-db-migrations/internal/apply.BenchmarkCollectStatements_500Transactional
         0     0% 78.87%      260ms 36.62%  testing.(*B).launch
         0     0% 78.87%      240ms 33.80%  os.ignoringEINTR (inline)
         0     0% 78.87%      150ms 21.13%  os.OpenFile
         0     0% 78.87%      150ms 21.13%  os.WriteFile
         0     0% 78.87%      150ms 21.13%  os.openFileNolog
         0     0% 78.87%      150ms 21.13%  reporting-db-migrations/internal/apply.benchCollectStatementsFixture
         0     0% 78.87%      130ms 18.31%  os.open (inline)
         0     0% 78.87%      130ms 18.31%  os.openFileNolog.func1 (inline)
         0     0% 78.87%      130ms 18.31%  syscall.Open
         0     0% 78.87%      110ms 15.49%  reporting-db-migrations/internal/apply.(*Executor).collectStatements
         0     0% 78.87%       90ms 12.68%  internal/syscall/unix.Unlinkat (inline)
         0     0% 78.87%       90ms 12.68%  os.RemoveAll (inline)
         0     0% 78.87%       90ms 12.68%  os.removeAll
         0     0% 78.87%       90ms 12.68%  os.removeAllFrom
         0     0% 78.87%       90ms 12.68%  os.removeAllFrom.removefileat.func1 (inline)
