pkg: reporting-db-migrations/internal/apply
cpu: Apple M2
BenchmarkCollectStatements_500Transactional-8         	    1519	    114343 ns/op	  154360 B/op	    1007 allocs/op
BenchmarkCollectStatements_500Transactional-8         	    1518	    115896 ns/op	  154360 B/op	    1007 allocs/op
BenchmarkCollectStatements_500Transactional-8         	    1551	    114841 ns/op	  154363 B/op	    1007 allocs/op
BenchmarkCollectStatements_500Transactional-8         	    1506	    115451 ns/op	  154360 B/op	    1007 allocs/op
BenchmarkCollectStatements_500Transactional-8         	    1519	    114612 ns/op	  154360 B/op	    1007 allocs/op
BenchmarkExecuteTxBatch_SuccessPath_100Statements-8   	   21288	      8422 ns/op	   20919 B/op	     104 allocs/op
BenchmarkExecuteTxBatch_SuccessPath_100Statements-8   	   21301	      8984 ns/op	   20919 B/op	     104 allocs/op
BenchmarkExecuteTxBatch_SuccessPath_100Statements-8   	   21216	      8547 ns/op	   20919 B/op	     104 allocs/op
BenchmarkExecuteTxBatch_SuccessPath_100Statements-8   	   21415	      8428 ns/op	   20919 B/op	     104 allocs/op
BenchmarkExecuteTxBatch_SuccessPath_100Statements-8   	   21422	      8429 ns/op	   20919 B/op	     104 allocs/op
BenchmarkExecuteTxBatch_FailurePath_100Statements-8   	    9428	     18560 ns/op	   43729 B/op	     220 allocs/op
BenchmarkExecuteTxBatch_FailurePath_100Statements-8   	    9878	     18398 ns/op	   43729 B/op	     220 allocs/op
BenchmarkExecuteTxBatch_FailurePath_100Statements-8   	    9817	     18602 ns/op	   43729 B/op	     220 allocs/op
BenchmarkExecuteTxBatch_FailurePath_100Statements-8   	   10000	     18463 ns/op	   43729 B/op	     220 allocs/op
BenchmarkExecuteTxBatch_FailurePath_100Statements-8   	    9490	     18425 ns/op	   43730 B/op	     220 allocs/op
