goos: darwin
goarch: arm64
pkg: reporting-db-migrations/internal/fs
cpu: Apple M2
BenchmarkObjectChecksumSharedBytesAfterScan/withScanHint-8         	  491857	       418.3 ns/op	     416 B/op	       1 allocs/op
BenchmarkObjectChecksumSharedBytesAfterScan/withScanHint-8         	  558376	       428.4 ns/op	     416 B/op	       1 allocs/op
BenchmarkObjectChecksumSharedBytesAfterScan/withScanHint-8         	  525398	       419.2 ns/op	     416 B/op	       1 allocs/op
BenchmarkObjectChecksumSharedBytesAfterScan/withScanHint-8         	  575326	       435.2 ns/op	     416 B/op	       1 allocs/op
BenchmarkObjectChecksumSharedBytesAfterScan/withScanHint-8         	  577454	       403.1 ns/op	     416 B/op	       1 allocs/op
BenchmarkObjectChecksumSharedBytesAfterScan/withScanHint-8         	  585531	       403.3 ns/op	     416 B/op	       1 allocs/op
BenchmarkObjectChecksumSharedBytesAfterScan/withScanHint-8         	  586934	       403.9 ns/op	     416 B/op	       1 allocs/op
BenchmarkObjectChecksumSharedBytesAfterScan/withScanHint-8         	  584700	       402.6 ns/op	     416 B/op	       1 allocs/op
BenchmarkObjectChecksumSharedBytesAfterScan/withScanHint-8         	  586856	       401.7 ns/op	     416 B/op	       1 allocs/op
BenchmarkObjectChecksumSharedBytesAfterScan/withScanHint-8         	  581113	       401.7 ns/op	     416 B/op	       1 allocs/op
BenchmarkObjectChecksumSharedBytesAfterScan/withoutScanHint-8      	   71234	      3373 ns/op	     784 B/op	       3 allocs/op
BenchmarkObjectChecksumSharedBytesAfterScan/withoutScanHint-8      	   71576	      3347 ns/op	     784 B/op	       3 allocs/op
BenchmarkObjectChecksumSharedBytesAfterScan/withoutScanHint-8      	   71468	      3357 ns/op	     784 B/op	       3 allocs/op
BenchmarkObjectChecksumSharedBytesAfterScan/withoutScanHint-8      	   71320	      3475 ns/op	     784 B/op	       3 allocs/op
BenchmarkObjectChecksumSharedBytesAfterScan/withoutScanHint-8      	   71368	      3344 ns/op	     784 B/op	       3 allocs/op
BenchmarkObjectChecksumSharedBytesAfterScan/withoutScanHint-8      	   71124	      3355 ns/op	     784 B/op	       3 allocs/op
BenchmarkObjectChecksumSharedBytesAfterScan/withoutScanHint-8      	   71779	      3351 ns/op	     784 B/op	       3 allocs/op
BenchmarkObjectChecksumSharedBytesAfterScan/withoutScanHint-8      	   71001	      3355 ns/op	     784 B/op	       3 allocs/op
BenchmarkObjectChecksumSharedBytesAfterScan/withoutScanHint-8      	   70802	      3351 ns/op	     785 B/op	       3 allocs/op
BenchmarkObjectChecksumSharedBytesAfterScan/withoutScanHint-8      	   71091	      3350 ns/op	     784 B/op	       3 allocs/op
PASS
ok  	reporting-db-migrations/internal/fs	5.448s
