File: fs-bench.test
Type: cpu
Time: 2026-05-18 21:57:36 CEST
Duration: 4.12s, Total samples = 4.31s (104.50%)
Showing nodes accounting for 4.16s, 96.52% of 4.31s total
Dropped 36 nodes (cum <= 0.02s)
Showing top 35 nodes out of 77
      flat  flat%   sum%        cum   cum%
     1.88s 43.62% 43.62%      1.88s 43.62%  runtime.kevent
     0.62s 14.39% 58.00%      0.62s 14.39%  runtime.madvise
     0.35s  8.12% 66.13%      0.55s 12.76%  reporting-db-migrations/internal/fs.normalizeSQLBytes
     0.22s  5.10% 71.23%      0.22s  5.10%  runtime.memmove
     0.19s  4.41% 75.64%      0.19s  4.41%  runtime.usleep
     0.18s  4.18% 79.81%      0.18s  4.18%  runtime.pthread_cond_wait
     0.12s  2.78% 82.60%      0.12s  2.78%  runtime.pthread_cond_signal
     0.11s  2.55% 85.15%      0.11s  2.55%  crypto/internal/fips140/sha256.blockSHA2
     0.11s  2.55% 87.70%      0.11s  2.55%  runtime.pthread_kill
     0.08s  1.86% 89.56%      0.08s  1.86%  runtime.memclrNoHeapPointers
     0.05s  1.16% 90.72%      0.94s 21.81%  sync.(*Once).doSlow
     0.03s   0.7% 91.42%      0.03s   0.7%  internal/runtime/maps.(*Map).getWithoutKeySmallFastStr
     0.02s  0.46% 91.88%      0.17s  3.94%  crypto/internal/fips140/sha256.(*Digest).Sum
     0.02s  0.46% 92.34%      0.13s  3.02%  crypto/internal/fips140/sha256.block
     0.02s  0.46% 92.81%      0.97s 22.51%  reporting-db-migrations/internal/fs.(*Object).Checksum
     0.02s  0.46% 93.27%      0.82s 19.03%  reporting-db-migrations/internal/fs.NormalizeAndHashBytes
     0.02s  0.46% 93.74%      0.05s  1.16%  reporting-db-migrations/internal/fs.lookupSharedObjectBytes
     0.02s  0.46% 94.20%      0.14s  3.25%  runtime.mallocgc
     0.02s  0.46% 94.66%      0.03s   0.7%  runtime.scanObject
     0.02s  0.46% 95.13%      0.07s  1.62%  runtime.stealWork
     0.02s  0.46% 95.59%      0.03s   0.7%  sync.(*Pool).Put
     0.01s  0.23% 95.82%      0.15s  3.48%  crypto/internal/fips140/sha256.(*Digest).checkSum
     0.01s  0.23% 96.06%      0.95s 22.04%  reporting-db-migrations/internal/fs.checksumOnceForFile
     0.01s  0.23% 96.29%      0.88s 20.42%  reporting-db-migrations/internal/fs.checksumOnceForFile.func1
     0.01s  0.23% 96.52%      0.11s  2.55%  runtime.mallocgcSmallScanNoHeader
         0     0% 96.52%      0.15s  3.48%  crypto/internal/fips140/sha256.(*Digest).Write
         0     0% 96.52%      0.20s  4.64%  crypto/sha256.Sum256
         0     0% 96.52%      1.11s 25.75%  reporting-db-migrations/internal/fs.BenchmarkObjectChecksumSharedBytesAfterScan.func1
         0     0% 96.52%      0.14s  3.25%  reporting-db-migrations/internal/fs.benchCopyObjectForChecksumLoop (inline)
         0     0% 96.52%      0.10s  2.32%  runtime.(*gcControllerState).enlistWorker
         0     0% 96.52%      0.62s 14.39%  runtime.(*mheap).alloc.func1
         0     0% 96.52%      0.62s 14.39%  runtime.(*mheap).allocSpan
         0     0% 96.52%      0.25s  5.80%  runtime.findRunnable
         0     0% 96.52%      0.11s  2.55%  runtime.forEachPInternal
         0     0% 96.52%      0.04s  0.93%  runtime.gcBgMarkWorker
