File: db-bench.test
Type: cpu
Time: 2026-05-18 23:03:44 CEST
Duration: 4.03s, Total samples = 4.64s (115.24%)
Showing nodes accounting for 4.55s, 98.06% of 4.64s total
Dropped 41 nodes (cum <= 0.02s)
Showing top 25 nodes out of 76
      flat  flat%   sum%        cum   cum%
     2.57s 55.39% 55.39%      2.57s 55.39%  runtime.kevent
     0.38s  8.19% 63.58%      0.38s  8.19%  runtime.pthread_cond_wait
     0.28s  6.03% 69.61%      0.28s  6.03%  crypto/internal/fips140/sha256.blockSHA2
     0.28s  6.03% 75.65%      0.28s  6.03%  runtime.pthread_kill
     0.15s  3.23% 78.88%      0.15s  3.23%  runtime.usleep
     0.14s  3.02% 81.90%      0.14s  3.02%  runtime.pthread_cond_signal
     0.11s  2.37% 84.27%      0.11s  2.37%  runtime.memmove
     0.10s  2.16% 86.42%      0.10s  2.16%  runtime.madvise
     0.08s  1.72% 88.15%      0.16s  3.45%  strings.(*Builder).WriteByte (inline)
     0.06s  1.29% 89.44%      0.06s  1.29%  cmpbody
     0.06s  1.29% 90.73%      0.07s  1.51%  strings.(*Builder).copyCheck (inline)
     0.05s  1.08% 91.81%      0.31s  6.68%  sort.partialInsertionSort_func
     0.04s  0.86% 92.67%      0.63s 13.58%  reporting-db-migrations/internal/db.scopeKey
     0.04s  0.86% 93.53%      0.10s  2.16%  reporting-db-migrations/internal/db.scopeKey.func1
     0.04s  0.86% 94.40%      0.04s  0.86%  runtime.tryDeferToSpanScan
     0.04s  0.86% 95.26%      0.13s  2.80%  runtime.typedmemmove
     0.04s  0.86% 96.12%      0.11s  2.37%  strings.(*Builder).WriteString (inline)
     0.03s  0.65% 96.77%      0.16s  3.45%  internal/reflectlite.Swapper.func9
     0.03s  0.65% 97.41%      0.03s  0.65%  runtime.asyncPreempt
     0.02s  0.43% 97.84%      0.06s  1.29%  runtime.wbBufFlush1
     0.01s  0.22% 98.06%      0.18s  3.88%  runtime.gcDrain
         0     0% 98.06%      0.28s  6.03%  crypto/internal/fips140/sha256.(*Digest).Write
         0     0% 98.06%      0.28s  6.03%  crypto/internal/fips140/sha256.block
         0     0% 98.06%      0.28s  6.03%  crypto/sha256.Sum256
         0     0% 98.06%      0.13s  2.80%  internal/reflectlite.typedmemmove
