File: fs-bench.test
Type: alloc_objects
Time: 2026-05-18 01:56:21 CEST
Showing nodes accounting for 19893, 100% of 19893 total
Showing top 40 nodes out of 54
      flat  flat%   sum%        cum   cum%
     10923 54.91% 54.91%      10923 54.91%  testing.(*B).ResetTimer
      4937 24.82% 79.73%       4937 24.82%  runtime.mallocgc
      2521 12.67% 92.40%       2521 12.67%  fmt.init.func1
      1024  5.15% 97.55%       1024  5.15%  bytes.growSlice
       293  1.47% 99.02%        293  1.47%  syscall.init.func1
       195  0.98%   100%        195  0.98%  os/exec.(*Cmd).environ
         0     0%   100%       1024  5.15%  bytes.(*Buffer).ReadFrom
         0     0%   100%       1024  5.15%  bytes.(*Buffer).grow
         0     0%   100%       2521 12.67%  fmt.Sprintf
         0     0%   100%       2521 12.67%  fmt.newPrinter
         0     0%   100%       1024  5.15%  io.Copy (inline)
         0     0%   100%       1024  5.15%  io.copyBuffer
         0     0%   100%      10923 54.91%  main.main
         0     0%   100%       1024  5.15%  os.(*File).WriteTo
         0     0%   100%        293  1.47%  os.Getenv
         0     0%   100%        293  1.47%  os.Getwd
         0     0%   100%       1024  5.15%  os.genericWriteTo
         0     0%   100%        293  1.47%  os.init
         0     0%   100%        195  0.98%  os/exec.(*Cmd).CombinedOutput
         0     0%   100%        195  0.98%  os/exec.(*Cmd).Run
         0     0%   100%        195  0.98%  os/exec.(*Cmd).Start
         0     0%   100%       1024  5.15%  os/exec.(*Cmd).Start.func2
         0     0%   100%       1024  5.15%  os/exec.(*Cmd).writerDescriptor.func1
         0     0%   100%       2716 13.65%  reporting-db-migrations/internal/fs.BenchmarkScannerPreloadGitInfo_200Paths
         0     0%   100%       2716 13.65%  reporting-db-migrations/internal/fs.makeGitBenchRepoWithTrackedViews
         0     0%   100%        195  0.98%  reporting-db-migrations/internal/fs.makeGitBenchRepoWithTrackedViews.func1
         0     0%   100%       4681 23.53%  runtime.acquireSudog
         0     0%   100%        256  1.29%  runtime.allocm
         0     0%   100%        293  1.47%  runtime.doInit (inline)
         0     0%   100%        293  1.47%  runtime.doInit1
         0     0%   100%       4681 23.53%  runtime.gcBgMarkWorker
         0     0%   100%       4681 23.53%  runtime.gcMarkDone
         0     0%   100%      11216 56.38%  runtime.main
         0     0%   100%        256  1.29%  runtime.mstart
         0     0%   100%        256  1.29%  runtime.mstart0
         0     0%   100%        256  1.29%  runtime.mstart1
         0     0%   100%        256  1.29%  runtime.newm
         0     0%   100%       4937 24.82%  runtime.newobject
         0     0%   100%        256  1.29%  runtime.resetspinning
         0     0%   100%        256  1.29%  runtime.schedule
