File: db-bench.test
Type: alloc_objects
Time: 2026-05-18 22:55:00 CEST
Showing nodes accounting for 287421, 99.91% of 287688 total
Dropped 23 nodes (cum <= 1438)
      flat  flat%   sum%        cum   cum%
    100099 34.79% 34.79%     168107 58.43%  reporting-db-migrations/internal/db.scopeKey
     65536 22.78% 57.57%      65536 22.78%  sync.(*Pool).pinSlow
     35239 12.25% 69.82%      35239 12.25%  internal/bytealg.MakeNoZero
     32769 11.39% 81.21%      98305 34.17%  fmt.Sprintf
     32769 11.39% 92.60%      32769 11.39%  internal/reflectlite.Swapper
     10086  3.51% 96.11%     108391 37.68%  reporting-db-migrations/internal/db.largeBenchLayout
      5461  1.90% 98.01%       5461  1.90%  time.Sleep
      3277  1.14% 99.15%       3277  1.14%  compress/gzip.NewWriterLevel
      2185  0.76% 99.91%       2185  0.76%  runtime/pprof.allFrames
         0     0% 99.91%      65536 22.78%  fmt.newPrinter
         0     0% 99.91%     276498 96.11%  reporting-db-migrations/internal/db.BenchmarkScopeKey_2000Parts
         0     0% 99.91%       2195  0.76%  runtime/pprof.(*profileBuilder).appendLocsForStack
         0     0% 99.91%       2195  0.76%  runtime/pprof.(*profileBuilder).build
         0     0% 99.91%       3277  1.14%  runtime/pprof.newProfileBuilder
         0     0% 99.91%      10933  3.80%  runtime/pprof.profileWriter
         0     0% 99.91%      32769 11.39%  sort.Slice
         0     0% 99.91%      35239 12.25%  strings.(*Builder).Grow
         0     0% 99.91%      35239 12.25%  strings.(*Builder).grow
         0     0% 99.91%      65536 22.78%  sync.(*Pool).Get
         0     0% 99.91%      65536 22.78%  sync.(*Pool).pin
         0     0% 99.91%     271455 94.36%  testing.(*B).launch
         0     0% 99.91%       5043  1.75%  testing.(*B).run1.func1
         0     0% 99.91%     276498 96.11%  testing.(*B).runN
