File: db-bench.test
Type: alloc_objects
Time: 2026-05-18 22:55:04 CEST
Showing nodes accounting for 379425, 99.86% of 379940 total
Dropped 20 nodes (cum <= 1899)
      flat  flat%   sum%        cum   cum%
    131073 34.50% 34.50%     131073 34.50%  sync.(*Pool).pinSlow
     69783 18.37% 52.87%     139408 36.69%  reporting-db-migrations/internal/db.scopeKey
     43691 11.50% 64.36%      43691 11.50%  internal/reflectlite.unsafe_New
     32768  8.62% 72.99%     163841 43.12%  fmt.Sprintf
     26176  6.89% 79.88%      50753 13.36%  reporting-db-migrations/internal/db.scopeKeySHA256Hex
     25934  6.83% 86.70%      25934  6.83%  internal/bytealg.MakeNoZero
     24577  6.47% 93.17%      24577  6.47%  encoding/hex.EncodeToString (inline)
     10923  2.87% 96.05%      10923  2.87%  testing.(*B).ResetTimer
      9039  2.38% 98.43%     172880 45.50%  reporting-db-migrations/internal/db.largeBenchLayout
      5461  1.44% 99.86%       5461  1.44%  time.Sleep
         0     0% 99.86%     131073 34.50%  fmt.newPrinter
         0     0% 99.86%      43691 11.50%  internal/reflectlite.Swapper
         0     0% 99.86%     363041 95.55%  reporting-db-migrations/internal/db.BenchmarkScopeKeyPhase3SlotKey_2000Parts
         0     0% 99.86%       5464  1.44%  runtime/pprof.profileWriter
         0     0% 99.86%      43691 11.50%  sort.Slice
         0     0% 99.86%      25934  6.83%  strings.(*Builder).Grow
         0     0% 99.86%      25934  6.83%  strings.(*Builder).grow
         0     0% 99.86%     131073 34.50%  sync.(*Pool).Get
         0     0% 99.86%     131073 34.50%  sync.(*Pool).pin
         0     0% 99.86%     345397 90.91%  testing.(*B).launch
         0     0% 99.86%      28567  7.52%  testing.(*B).run1.func1
         0     0% 99.86%     373964 98.43%  testing.(*B).runN
